timestamp,protocol,source_ip,destination_ip,source_port,destination_port,isTor,isVPN,isNormal
2026-06-18 06:31:03.394846,TCP,192.168.1.5,192.168.1.9,50774,7000,0.842452,0.082969,0.074579
2026-06-18 06:35:32.230996,TCP,192.168.1.5,192.168.1.9,50775,7000,0.904760,0.058369,0.036871
2026-06-18 06:36:15.967926,TCP,192.168.1.5,192.168.1.9,50778,7000,0.865752,0.067003,0.067244
2026-06-18 06:45:06.615249,TCP,192.168.1.5,192.168.1.9,50782,7000,0.827888,0.096625,0.075487
2026-06-18 06:45:41.892698,TCP,192.168.1.5,192.168.1.9,50783,7000,0.886849,0.054108,0.059043
2026-06-18 07:02:47.167102,TCP,192.168.1.5,192.168.1.9,50788,7000,0.762981,0.150264,0.086756
2026-06-18 06:19:30.880585,TCP,192.168.1.9,192.42.116.161,49155,443,0.923792,0.037485,0.038723
2026-06-18 06:20:11.109271,TCP,192.168.1.9,67.163.153.240,49158,8092,0.908416,0.054826,0.036758
2026-06-18 06:20:20.342427,TCP,192.168.1.9,51.75.206.12,49159,9000,0.867738,0.084052,0.048210
2026-06-18 06:55:07.387983,TCP,192.168.1.9,37.221.209.76,49282,9100,0.864921,0.081396,0.053683
2026-06-18 06:21:10.272571,TCP,192.168.1.9,65.0.143.174,58128,443,0.555335,0.045951,0.398715
2026-06-18 06:21:10.439584,TCP,192.168.1.9,65.0.143.174,58154,443,0.521148,0.072082,0.406770
2026-06-18 06:20:10.835733,TCP,192.168.1.9,23.44.236.187,58155,443,0.923863,0.030235,0.045902
2026-06-18 06:20:14.519456,TCP,192.168.1.9,23.15.34.109,58201,443,0.816345,0.128676,0.054979
2026-06-18 06:20:18.459258,TCP,192.168.1.9,23.15.34.48,58209,443,0.832589,0.101267,0.066144
2026-06-18 06:21:21.078214,TCP,192.168.1.9,35.154.111.35,58210,443,0.870994,0.073889,0.055117
2026-06-18 06:20:26.893924,TCP,192.168.1.9,23.15.34.48,58218,443,0.928118,0.023404,0.048478
2026-06-18 06:19:50.986900,TCP,192.168.1.9,23.208.66.127,58229,443,0.900766,0.030312,0.068922
2026-06-18 06:20:11.785532,TCP,192.168.1.9,23.15.34.88,58236,443,0.919953,0.042320,0.037727
2026-06-18 06:20:25.047083,TCP,192.168.1.9,35.154.111.35,58240,443,0.931111,0.015812,0.053077
2026-06-18 06:20:25.074312,TCP,192.168.1.9,52.220.188.161,58241,443,0.932044,0.042041,0.025915
2026-06-18 06:20:25.364910,TCP,192.168.1.9,35.154.111.35,58242,443,0.891456,0.066184,0.042360
2026-06-18 06:20:41.057043,TCP,192.168.1.9,192.178.158.100,58243,443,0.837344,0.069369,0.093287
2026-06-18 06:20:42.548960,TCP,192.168.1.9,216.239.36.223,58244,443,0.937015,0.042781,0.020204
2026-06-18 06:21:27.938646,TCP,192.168.1.9,23.11.39.161,58250,80,0.831107,0.033726,0.135166
2026-06-18 06:23:16.702165,TCP,192.168.1.9,23.50.12.150,58256,443,0.844669,0.042718,0.112613
2026-06-18 06:42:55.753462,TCP,192.168.1.9,35.154.111.35,58266,443,0.941204,0.034222,0.024574
2026-06-18 06:50:23.280731,TCP,192.168.1.9,23.192.98.111,58267,443,0.927917,0.036261,0.035822
2026-06-18 06:50:23.419912,TCP,192.168.1.9,23.192.98.111,58268,443,0.903224,0.048117,0.048660
2026-06-18 06:50:23.427058,TCP,192.168.1.9,23.192.98.111,58269,443,0.866753,0.090911,0.042336
2026-06-18 06:50:23.431042,TCP,192.168.1.9,23.192.98.111,58270,443,0.951414,0.028230,0.020356
2026-06-18 06:53:46.427188,TCP,192.168.1.9,216.239.34.223,58278,443,0.632750,0.131267,0.235983
2026-06-18 06:52:18.394137,UDP,0.0.0.0,255.255.255.255,68,67,0.352195,0.027743,0.620063
2026-06-18 06:38:07.505523,UDP,142.250.205.206,192.168.1.9,443,49689,0.893531,0.058917,0.047552
2026-06-18 06:38:04.626386,UDP,142.250.205.206,192.168.1.9,443,50426,0.865704,0.082122,0.052174
2026-06-18 06:38:05.361536,UDP,142.250.205.206,192.168.1.9,443,59525,0.886948,0.059212,0.053841
2026-06-18 06:38:06.171917,UDP,142.250.205.206,192.168.1.9,443,61074,0.879664,0.036520,0.083816
2026-06-18 06:38:06.784828,UDP,142.250.205.206,192.168.1.9,443,63107,0.881598,0.070521,0.047881
2026-06-18 06:38:08.335278,UDP,142.250.205.206,192.168.1.9,443,63404,0.874501,0.076964,0.048535
2026-06-18 07:12:56.489601,UDP,142.250.206.110,192.168.1.9,443,49622,0.906299,0.042760,0.050941
2026-06-18 06:53:53.080674,UDP,142.250.206.110,192.168.1.9,443,50492,0.928836,0.050621,0.020543
2026-06-18 07:12:57.944006,UDP,142.250.206.110,192.168.1.9,443,51012,0.877254,0.061552,0.061195
2026-06-18 06:53:53.783490,UDP,142.250.206.110,192.168.1.9,443,52565,0.877040,0.051018,0.071942
2026-06-18 07:12:58.505132,UDP,142.250.206.110,192.168.1.9,443,52758,0.894213,0.081301,0.024486
2026-06-18 06:53:58.997264,UDP,142.250.206.110,192.168.1.9,443,54738,0.912282,0.051792,0.035926
2026-06-18 06:53:59.836225,UDP,142.250.206.110,192.168.1.9,443,54749,0.869038,0.067501,0.063461
2026-06-18 07:12:57.334980,UDP,142.250.206.110,192.168.1.9,443,54978,0.886190,0.071682,0.042128
2026-06-18 06:53:52.333541,UDP,142.250.206.110,192.168.1.9,443,55494,0.882008,0.039255,0.078737
2026-06-18 06:53:58.283990,UDP,142.250.206.110,192.168.1.9,443,58484,0.919710,0.049717,0.030573
2026-06-18 07:12:59.226467,UDP,142.250.206.110,192.168.1.9,443,60242,0.892093,0.052342,0.055565
2026-06-18 07:12:55.747245,UDP,142.250.206.110,192.168.1.9,443,61260,0.864776,0.091209,0.044015
2026-06-18 06:50:23.863284,UDP,151.101.107.6,192.168.1.9,443,60231,0.831296,0.051602,0.117102
2026-06-18 06:19:33.172735,UDP,17.248.239.10,192.168.1.9,443,49401,0.353367,0.067150,0.579483
2026-06-18 06:20:07.976497,UDP,17.248.239.10,192.168.1.9,443,49517,0.850530,0.096655,0.052815
2026-06-18 06:53:44.097277,UDP,17.248.239.10,192.168.1.9,443,49800,0.886404,0.068390,0.045206
2026-06-18 06:53:36.701042,UDP,17.248.239.10,192.168.1.9,443,49977,0.884702,0.071477,0.043821
2026-06-18 06:20:40.773867,UDP,17.248.239.10,192.168.1.9,443,50971,0.888186,0.044437,0.067377
2026-06-18 06:20:59.017092,UDP,17.248.239.10,192.168.1.9,443,51383,0.860150,0.078758,0.061092
2026-06-18 06:21:13.739889,UDP,17.248.239.10,192.168.1.9,443,51864,0.884439,0.059666,0.055896
2026-06-18 06:21:14.399813,UDP,17.248.239.10,192.168.1.9,443,52071,0.864118,0.073529,0.062353
2026-06-18 06:19:34.642878,UDP,17.248.239.10,192.168.1.9,443,53120,0.438624,0.059484,0.501892
2026-06-18 06:21:08.309771,UDP,17.248.239.10,192.168.1.9,443,55558,0.889692,0.056744,0.053563
2026-06-18 06:22:59.137307,UDP,17.248.239.10,192.168.1.9,443,56452,0.904607,0.048437,0.046957
2026-06-18 06:23:33.004869,UDP,17.248.239.10,192.168.1.9,443,56485,0.842083,0.077829,0.080088
2026-06-18 06:21:30.141682,UDP,17.248.239.10,192.168.1.9,443,57084,0.854833,0.063129,0.082038
2026-06-18 06:21:14.405735,UDP,17.248.239.10,192.168.1.9,443,60661,0.912429,0.057371,0.030199
2026-06-18 06:22:58.811428,UDP,17.248.239.10,192.168.1.9,443,62152,0.876768,0.033578,0.089654
2026-06-18 06:20:08.083213,UDP,17.248.239.10,192.168.1.9,443,63784,0.878120,0.059697,0.062183
2026-06-18 06:19:42.748434,UDP,17.248.239.10,192.168.1.9,443,63795,0.378473,0.048700,0.572828
2026-06-18 06:23:00.211283,UDP,17.248.239.10,192.168.1.9,443,64463,0.899392,0.051412,0.049197
2026-06-18 06:20:09.165024,UDP,17.248.239.10,192.168.1.9,443,65386,0.902200,0.047857,0.049943
2026-06-18 06:25:08.287689,UDP,17.248.239.65,192.168.1.9,443,56497,0.892916,0.048021,0.059062
2026-06-18 06:21:13.804508,UDP,17.248.239.66,192.168.1.9,443,56055,0.863506,0.048337,0.088157
2026-06-18 06:34:07.269419,UDP,17.253.18.131,192.168.1.9,123,123,0.658092,0.160154,0.181754
2026-06-18 06:50:05.420425,UDP,17.253.18.99,192.168.1.9,123,123,0.442648,0.193173,0.364178
2026-06-18 06:34:05.175806,UDP,17.253.60.45,192.168.1.9,123,123,0.293854,0.099634,0.606513
2026-06-18 06:20:40.460929,UDP,172.64.68.64,192.168.1.9,443,54316,0.874701,0.039482,0.085817
2026-06-18 06:53:46.879778,UDP,192.168.1.1,192.168.1.9,53,49217,0.508534,0.094465,0.397001
2026-06-18 06:52:18.315746,UDP,192.168.1.1,192.168.1.9,53,49238,0.304231,0.097936,0.597833
